season,team,age
2024-01-01,Atlanta Hawks,26.2
2024-01-01,Boston Celtics,28.2
2024-01-01,Brooklyn Nets,26.1
2024-01-01,Chicago Bulls,28.1
2024-01-01,Charlotte Hornets,25.1
2024-01-01,Cleveland Cavaliers,26.2
2024-01-01,Dallas Mavericks,26.5
2024-01-01,Denver Nuggets,27.1
2024-01-01,Detroit Pistons,23.8
2024-01-01,Golden State Warriors,28.4
2024-01-01,Houston Rockets,25.1
2024-01-01,Indiana Pacers,25.3
2024-01-01,Los Angeles Clippers,30.4
2024-01-01,Los Angeles Lakers,28.0
2024-01-01,Memphis Grizzlies,24.4
2024-01-01,Miami Heat,28.0
2024-01-01,Milwaukee Bucks,30.2
2024-01-01,Minnesota Timberwolves,27.2
2024-01-01,New Orleans Pelicans,26.0
2024-01-01,New York Knicks,26.4
2024-01-01,Oklahoma City Thunder,23.4
2024-01-01,Orlando Magic,24.0
2024-01-01,Philadelphia 76ers,28.4
2024-01-01,Phoenix Suns,29.3
2024-01-01,Portland Trail Blazers,24.1
2024-01-01,Sacramento Kings,26.4
2024-01-01,San Antonio Spurs,23.0
2024-01-01,Toronto Raptors,25.9
2024-01-01,Utah Jazz,25.1
2024-01-01,Washington Wizards,24.9
2024-01-01,League Average,26.6
2023-01-01,Atlanta Hawks,24.9
2023-01-01,Boston Celtics,27.4
2023-01-01,Brooklyn Nets,28.0
2023-01-01,Chicago Bulls,27.5
2023-01-01,Charlotte Hornets,25.3
2023-01-01,Cleveland Cavaliers,25.4
2023-01-01,Dallas Mavericks,27.8
2023-01-01,Denver Nuggets,26.6
2023-01-01,Detroit Pistons,24.1
2023-01-01,Golden State Warriors,27.3
2023-01-01,Houston Rockets,22.1
2023-01-01,Indiana Pacers,24.5
2023-01-01,Los Angeles Clippers,29.7
2023-01-01,Los Angeles Lakers,27.9
2023-01-01,Memphis Grizzlies,24.4
2023-01-01,Miami Heat,27.7
2023-01-01,Milwaukee Bucks,29.8
2023-01-01,Minnesota Timberwolves,25.8
2023-01-01,New Orleans Pelicans,25.9
2023-01-01,New York Knicks,24.5
2023-01-01,Oklahoma City Thunder,22.8
2023-01-01,Orlando Magic,23.1
2023-01-01,Philadelphia 76ers,28.2
2023-01-01,Phoenix Suns,28.1
2023-01-01,Portland Trail Blazers,25.1
2023-01-01,Sacramento Kings,25.4
2023-01-01,San Antonio Spurs,23.9
2023-01-01,Toronto Raptors,25.8
2023-01-01,Utah Jazz,26.5
2023-01-01,Washington Wizards,26.2
2023-01-01,League Average,26.3
2022-01-01,Atlanta Hawks,26.1
2022-01-01,Boston Celtics,26.1
2022-01-01,Brooklyn Nets,29.1
2022-01-01,Chicago Bulls,26.3
2022-01-01,Charlotte Hornets,25.5
2022-01-01,Cleveland Cavaliers,24.7
2022-01-01,Dallas Mavericks,26.7
2022-01-01,Denver Nuggets,27.7
2022-01-01,Detroit Pistons,23.6
2022-01-01,Golden State Warriors,27.6
2022-01-01,Houston Rockets,24.1
2022-01-01,Indiana Pacers,26.0
2022-01-01,Los Angeles Clippers,27.5
2022-01-01,Los Angeles Lakers,30.2
2022-01-01,Memphis Grizzlies,24.0
2022-01-01,Miami Heat,28.2
2022-01-01,Milwaukee Bucks,28.5
2022-01-01,Minnesota Timberwolves,24.2
2022-01-01,New Orleans Pelicans,25.6
2022-01-01,New York Knicks,26.0
2022-01-01,Oklahoma City Thunder,22.4
2022-01-01,Orlando Magic,23.3
2022-01-01,Philadelphia 76ers,26.8
2022-01-01,Phoenix Suns,27.5
2022-01-01,Portland Trail Blazers,25.6
2022-01-01,Sacramento Kings,25.8
2022-01-01,San Antonio Spurs,24.5
2022-01-01,Toronto Raptors,24.8
2022-01-01,Utah Jazz,29.3
2022-01-01,Washington Wizards,25.9
2022-01-01,League Average,26.3
2021-01-01,Atlanta Hawks,25.4
2021-01-01,Boston Celtics,25.1
2021-01-01,Brooklyn Nets,28.2
2021-01-01,Chicago Bulls,25.6
2021-01-01,Charlotte Hornets,24.6
2021-01-01,Cleveland Cavaliers,24.0
2021-01-01,Dallas Mavericks,26.3
2021-01-01,Denver Nuggets,26.1
2021-01-01,Detroit Pistons,24.5
2021-01-01,Golden State Warriors,26.7
2021-01-01,Houston Rockets,26.5
2021-01-01,Indiana Pacers,26.5
2021-01-01,Los Angeles Clippers,28.8
2021-01-01,Los Angeles Lakers,28.2
2021-01-01,Memphis Grizzlies,24.2
2021-01-01,Miami Heat,27.4
2021-01-01,Milwaukee Bucks,28.1
2021-01-01,Minnesota Timberwolves,23.2
2021-01-01,New Orleans Pelicans,24.8
2021-01-01,New York Knicks,25.6
2021-01-01,Oklahoma City Thunder,22.8
2021-01-01,Orlando Magic,25.6
2021-01-01,Philadelphia 76ers,27.1
2021-01-01,Phoenix Suns,26.6
2021-01-01,Portland Trail Blazers,27.4
2021-01-01,Sacramento Kings,25.6
2021-01-01,San Antonio Spurs,26.2
2021-01-01,Toronto Raptors,26.6
2021-01-01,Utah Jazz,28.5
2021-01-01,Washington Wizards,26.6
2021-01-01,League Average,26.3
2020-01-01,Atlanta Hawks,24.1
2020-01-01,Boston Celtics,25.3
2020-01-01,Brooklyn Nets,26.3
2020-01-01,Chicago Bulls,24.4
2020-01-01,Charlotte Hornets,24.3
2020-01-01,Cleveland Cavaliers,25.0
2020-01-01,Dallas Mavericks,26.1
2020-01-01,Denver Nuggets,25.6
2020-01-01,Detroit Pistons,25.9
2020-01-01,Golden State Warriors,24.4
2020-01-01,Houston Rockets,29.2
2020-01-01,Indiana Pacers,25.6
2020-01-01,Los Angeles Clippers,27.4
2020-01-01,Los Angeles Lakers,29.5
2020-01-01,Memphis Grizzlies,24.1
2020-01-01,Miami Heat,25.9
2020-01-01,Milwaukee Bucks,29.2
2020-01-01,Minnesota Timberwolves,24.8
2020-01-01,New Orleans Pelicans,25.4
2020-01-01,New York Knicks,24.5
2020-01-01,Oklahoma City Thunder,25.5
2020-01-01,Orlando Magic,26.1
2020-01-01,Philadelphia 76ers,26.3
2020-01-01,Phoenix Suns,24.6
2020-01-01,Portland Trail Blazers,27.5
2020-01-01,Sacramento Kings,27.0
2020-01-01,San Antonio Spurs,27.6
2020-01-01,Toronto Raptors,26.6
2020-01-01,Utah Jazz,27.3
2020-01-01,Washington Wizards,25.1
2020-01-01,League Average,26.2
2019-01-01,Atlanta Hawks,25.1
2019-01-01,Boston Celtics,25.7
2019-01-01,Brooklyn Nets,25.4
2019-01-01,Chicago Bulls,24.0
2019-01-01,Charlotte Hornets,26.6
2019-01-01,Cleveland Cavaliers,25.2
2019-01-01,Dallas Mavericks,26.9
2019-01-01,Denver Nuggets,24.9
2019-01-01,Detroit Pistons,26.9
2019-01-01,Golden State Warriors,28.4
2019-01-01,Houston Rockets,29.2
2019-01-01,Indiana Pacers,27.0
2019-01-01,Los Angeles Clippers,27.2
2019-01-01,Los Angeles Lakers,26.2
2019-01-01,Memphis Grizzlies,27.7
2019-01-01,Miami Heat,27.0
2019-01-01,Milwaukee Bucks,26.9
2019-01-01,Minnesota Timberwolves,26.2
2019-01-01,New Orleans Pelicans,25.7
2019-01-01,New York Knicks,23.4
2019-01-01,Oklahoma City Thunder,25.7
2019-01-01,Orlando Magic,25.7
2019-01-01,Philadelphia 76ers,26.4
2019-01-01,Phoenix Suns,24.0
2019-01-01,Portland Trail Blazers,26.2
2019-01-01,Sacramento Kings,24.8
2019-01-01,San Antonio Spurs,28.8
2019-01-01,Toronto Raptors,27.3
2019-01-01,Utah Jazz,27.3
2019-01-01,Washington Wizards,26.5
2019-01-01,League Average,26.4
2018-01-01,Atlanta Hawks,25.4
2018-01-01,Boston Celtics,24.7
2018-01-01,Brooklyn Nets,25.1
2018-01-01,Chicago Bulls,24.4
2018-01-01,Charlotte Hornets,26.6
2018-01-01,Cleveland Cavaliers,30.6
2018-01-01,Dallas Mavericks,27.7
2018-01-01,Denver Nuggets,25.1
2018-01-01,Detroit Pistons,25.9
2018-01-01,Golden State Warriors,28.8
2018-01-01,Houston Rockets,29.8
2018-01-01,Indiana Pacers,26.2
2018-01-01,Los Angeles Clippers,27.0
2018-01-01,Los Angeles Lakers,23.7
2018-01-01,Memphis Grizzlies,26.0
2018-01-01,Miami Heat,26.5
2018-01-01,Milwaukee Bucks,25.9
2018-01-01,Minnesota Timberwolves,27.1
2018-01-01,New Orleans Pelicans,27.6
2018-01-01,New York Knicks,26.3
2018-01-01,Oklahoma City Thunder,27.3
2018-01-01,Orlando Magic,25.6
2018-01-01,Philadelphia 76ers,25.8
2018-01-01,Phoenix Suns,23.7
2018-01-01,Portland Trail Blazers,25.6
2018-01-01,Sacramento Kings,26.4
2018-01-01,San Antonio Spurs,29.3
2018-01-01,Toronto Raptors,25.8
2018-01-01,Utah Jazz,26.7
2018-01-01,Washington Wizards,26.9
2018-01-01,League Average,26.6
2017-01-01,Atlanta Hawks,27.9
2017-01-01,Boston Celtics,25.9
2017-01-01,Brooklyn Nets,26.0
2017-01-01,Chicago Bulls,26.9
2017-01-01,Charlotte Hornets,26.5
2017-01-01,Cleveland Cavaliers,29.2
2017-01-01,Dallas Mavericks,27.6
2017-01-01,Denver Nuggets,25.2
2017-01-01,Detroit Pistons,25.4
2017-01-01,Golden State Warriors,28.2
2017-01-01,Houston Rockets,27.4
2017-01-01,Indiana Pacers,27.0
2017-01-01,Los Angeles Clippers,30.0
2017-01-01,Los Angeles Lakers,25.1
2017-01-01,Memphis Grizzlies,29.5
2017-01-01,Miami Heat,26.5
2017-01-01,Milwaukee Bucks,25.6
2017-01-01,Minnesota Timberwolves,24.0
2017-01-01,New Orleans Pelicans,25.7
2017-01-01,New York Knicks,27.3
2017-01-01,Oklahoma City Thunder,24.7
2017-01-01,Orlando Magic,25.3
2017-01-01,Philadelphia 76ers,24.6
2017-01-01,Phoenix Suns,25.0
2017-01-01,Portland Trail Blazers,24.8
2017-01-01,Sacramento Kings,27.9
2017-01-01,San Antonio Spurs,29.6
2017-01-01,Toronto Raptors,26.1
2017-01-01,Utah Jazz,26.8
2017-01-01,Washington Wizards,26.0
2017-01-01,League Average,26.6
2016-01-01,Atlanta Hawks,28.2
2016-01-01,Boston Celtics,25.2
2016-01-01,Brooklyn Nets,26.9
2016-01-01,Chicago Bulls,27.6
2016-01-01,Charlotte Hornets,26.0
2016-01-01,Cleveland Cavaliers,28.1
2016-01-01,Dallas Mavericks,30.3
2016-01-01,Denver Nuggets,24.7
2016-01-01,Detroit Pistons,25.0
2016-01-01,Golden State Warriors,27.4
2016-01-01,Houston Rockets,27.8
2016-01-01,Indiana Pacers,26.9
2016-01-01,Los Angeles Clippers,29.7
2016-01-01,Los Angeles Lakers,26.5
2016-01-01,Memphis Grizzlies,30.5
2016-01-01,Miami Heat,28.4
2016-01-01,Milwaukee Bucks,23.5
2016-01-01,Minnesota Timberwolves,24.6
2016-01-01,New Orleans Pelicans,26.6
2016-01-01,New York Knicks,27.2
2016-01-01,Oklahoma City Thunder,25.8
2016-01-01,Orlando Magic,23.9
2016-01-01,Philadelphia 76ers,23.3
2016-01-01,Phoenix Suns,26.0
2016-01-01,Portland Trail Blazers,24.3
2016-01-01,Sacramento Kings,26.6
2016-01-01,San Antonio Spurs,30.3
2016-01-01,Toronto Raptors,26.3
2016-01-01,Utah Jazz,24.2
2016-01-01,Washington Wizards,27.3
2016-01-01,League Average,26.8
2015-01-01,Atlanta Hawks,27.8
2015-01-01,Boston Celtics,25.0
2015-01-01,Brooklyn Nets,28.6
2015-01-01,Chicago Bulls,28.8
2015-01-01,Charlotte Hornets,26.0
2015-01-01,Cleveland Cavaliers,26.9
2015-01-01,Dallas Mavericks,29.9
2015-01-01,Denver Nuggets,26.4
2015-01-01,Detroit Pistons,25.9
2015-01-01,Golden State Warriors,26.6
2015-01-01,Houston Rockets,27.6
2015-01-01,Indiana Pacers,28.3
2015-01-01,Los Angeles Clippers,28.8
2015-01-01,Los Angeles Lakers,27.0
2015-01-01,Memphis Grizzlies,29.6
2015-01-01,Miami Heat,28.5
2015-01-01,Milwaukee Bucks,24.6
2015-01-01,Minnesota Timberwolves,24.4
2015-01-01,New Orleans Pelicans,25.3
2015-01-01,New York Knicks,26.9
2015-01-01,Oklahoma City Thunder,25.4
2015-01-01,Orlando Magic,24.3
2015-01-01,Philadelphia 76ers,23.2
2015-01-01,Phoenix Suns,25.7
2015-01-01,Portland Trail Blazers,27.0
2015-01-01,Sacramento Kings,26.0
2015-01-01,San Antonio Spurs,29.8
2015-01-01,Toronto Raptors,26.1
2015-01-01,Utah Jazz,23.4
2015-01-01,Washington Wizards,28.6
2015-01-01,League Average,26.8
2014-01-01,Atlanta Hawks,27.5
2014-01-01,Boston Celtics,25.4
2014-01-01,Brooklyn Nets,30.0
2014-01-01,Charlotte Bobcats,25.5
2014-01-01,Chicago Bulls,28.6
2014-01-01,Cleveland Cavaliers,24.9
2014-01-01,Dallas Mavericks,30.6
2014-01-01,Denver Nuggets,26.0
2014-01-01,Detroit Pistons,24.7
2014-01-01,Golden State Warriors,26.3
2014-01-01,Houston Rockets,25.4
2014-01-01,Indiana Pacers,27.2
2014-01-01,Los Angeles Clippers,28.1
2014-01-01,Los Angeles Lakers,26.8
2014-01-01,Memphis Grizzlies,28.5
2014-01-01,Miami Heat,30.6
2014-01-01,Milwaukee Bucks,24.7
2014-01-01,Minnesota Timberwolves,26.3
2014-01-01,New Orleans Pelicans,24.3
2014-01-01,New York Knicks,28.3
2014-01-01,Oklahoma City Thunder,26.2
2014-01-01,Orlando Magic,24.6
2014-01-01,Philadelphia 76ers,23.4
2014-01-01,Phoenix Suns,26.2
2014-01-01,Portland Trail Blazers,25.8
2014-01-01,Sacramento Kings,24.9
2014-01-01,San Antonio Spurs,28.9
2014-01-01,Toronto Raptors,25.6
2014-01-01,Utah Jazz,24.5
2014-01-01,Washington Wizards,26.3
2014-01-01,League Average,26.6
2013-01-01,Atlanta Hawks,27.1
2013-01-01,Boston Celtics,29.1
2013-01-01,Brooklyn Nets,28.6
2013-01-01,Charlotte Bobcats,24.4
2013-01-01,Chicago Bulls,28.0
2013-01-01,Cleveland Cavaliers,24.1
2013-01-01,Dallas Mavericks,29.5
2013-01-01,Denver Nuggets,26.1
2013-01-01,Detroit Pistons,25.3
2013-01-01,Golden State Warriors,25.3
2013-01-01,Houston Rockets,24.4
2013-01-01,Indiana Pacers,25.7
2013-01-01,Los Angeles Clippers,28.8
2013-01-01,Los Angeles Lakers,30.7
2013-01-01,Memphis Grizzlies,27.0
2013-01-01,Miami Heat,30.3
2013-01-01,Milwaukee Bucks,26.4
2013-01-01,Minnesota Timberwolves,26.4
2013-01-01,New Orleans Hornets,24.0
2013-01-01,New York Knicks,30.2
2013-01-01,Oklahoma City Thunder,26.0
2013-01-01,Orlando Magic,24.6
2013-01-01,Philadelphia 76ers,25.2
2013-01-01,Phoenix Suns,26.9
2013-01-01,Portland Trail Blazers,24.4
2013-01-01,Sacramento Kings,25.6
2013-01-01,San Antonio Spurs,28.6
2013-01-01,Toronto Raptors,25.4
2013-01-01,Utah Jazz,26.3
2013-01-01,Washington Wizards,25.4
2013-01-01,League Average,26.7
2012-01-01,Atlanta Hawks,27.9
2012-01-01,Boston Celtics,29.3
2012-01-01,Charlotte Bobcats,24.5
2012-01-01,Chicago Bulls,27.1
2012-01-01,Cleveland Cavaliers,26.0
2012-01-01,Dallas Mavericks,31.3
2012-01-01,Denver Nuggets,26.6
2012-01-01,Detroit Pistons,26.3
2012-01-01,Golden State Warriors,25.3
2012-01-01,Houston Rockets,26.2
2012-01-01,Indiana Pacers,26.3
2012-01-01,Los Angeles Clippers,27.3
2012-01-01,Los Angeles Lakers,29.7
2012-01-01,Memphis Grizzlies,25.6
2012-01-01,Miami Heat,28.3
2012-01-01,Milwaukee Bucks,26.2
2012-01-01,Minnesota Timberwolves,24.4
2012-01-01,New Jersey Nets,26.1
2012-01-01,New Orleans Hornets,25.5
2012-01-01,New York Knicks,26.3
2012-01-01,Oklahoma City Thunder,25.1
2012-01-01,Orlando Magic,27.5
2012-01-01,Philadelphia 76ers,24.9
2012-01-01,Phoenix Suns,28.9
2012-01-01,Portland Trail Blazers,27.5
2012-01-01,Sacramento Kings,24.3
2012-01-01,San Antonio Spurs,27.5
2012-01-01,Toronto Raptors,25.7
2012-01-01,Utah Jazz,25.6
2012-01-01,Washington Wizards,24.2
2012-01-01,League Average,26.7
2011-01-01,Atlanta Hawks,27.4
2011-01-01,Boston Celtics,29.5
2011-01-01,Charlotte Bobcats,26.9
2011-01-01,Chicago Bulls,26.4
2011-01-01,Cleveland Cavaliers,26.6
2011-01-01,Dallas Mavericks,30.9
2011-01-01,Denver Nuggets,27.3
2011-01-01,Detroit Pistons,27.2
2011-01-01,Golden State Warriors,25.2
2011-01-01,Houston Rockets,26.5
2011-01-01,Indiana Pacers,25.9
2011-01-01,Los Angeles Clippers,24.6
2011-01-01,Los Angeles Lakers,30.2
2011-01-01,Memphis Grizzlies,25.2
2011-01-01,Miami Heat,29.0
2011-01-01,Milwaukee Bucks,26.7
2011-01-01,Minnesota Timberwolves,23.8
2011-01-01,New Jersey Nets,24.8
2011-01-01,New Orleans Hornets,26.3
2011-01-01,New York Knicks,25.3
2011-01-01,Oklahoma City Thunder,23.7
2011-01-01,Orlando Magic,27.6
2011-01-01,Philadelphia 76ers,24.7
2011-01-01,Phoenix Suns,29.6
2011-01-01,Portland Trail Blazers,26.7
2011-01-01,Sacramento Kings,24.8
2011-01-01,San Antonio Spurs,28.8
2011-01-01,Toronto Raptors,24.5
2011-01-01,Utah Jazz,26.8
2011-01-01,Washington Wizards,24.9
2011-01-01,League Average,26.7
2010-01-01,Atlanta Hawks,26.5
2010-01-01,Boston Celtics,29.4
2010-01-01,Charlotte Bobcats,27.4
2010-01-01,Chicago Bulls,26.2
2010-01-01,Cleveland Cavaliers,28.0
2010-01-01,Dallas Mavericks,30.7
2010-01-01,Denver Nuggets,27.7
2010-01-01,Detroit Pistons,26.7
2010-01-01,Golden State Warriors,25.1
2010-01-01,Houston Rockets,26.0
2010-01-01,Indiana Pacers,26.6
2010-01-01,Los Angeles Clippers,27.3
2010-01-01,Los Angeles Lakers,28.4
2010-01-01,Memphis Grizzlies,24.1
2010-01-01,Miami Heat,27.1
2010-01-01,Milwaukee Bucks,26.4
2010-01-01,Minnesota Timberwolves,24.1
2010-01-01,New Jersey Nets,24.8
2010-01-01,New Orleans Hornets,27.5
2010-01-01,New York Knicks,25.4
2010-01-01,Oklahoma City Thunder,23.2
2010-01-01,Orlando Magic,27.9
2010-01-01,Philadelphia 76ers,25.4
2010-01-01,Phoenix Suns,28.5
2010-01-01,Portland Trail Blazers,26.6
2010-01-01,Sacramento Kings,24.1
2010-01-01,San Antonio Spurs,28.7
2010-01-01,Toronto Raptors,25.2
2010-01-01,Utah Jazz,25.6
2010-01-01,Washington Wizards,27.6
2010-01-01,League Average,26.8
2009-01-01,Atlanta Hawks,25.8
2009-01-01,Boston Celtics,27.8
2009-01-01,Charlotte Bobcats,25.8
2009-01-01,Chicago Bulls,24.9
2009-01-01,Cleveland Cavaliers,26.6
2009-01-01,Dallas Mavericks,29.0
2009-01-01,Denver Nuggets,27.7
2009-01-01,Detroit Pistons,28.2
2009-01-01,Golden State Warriors,25.0
2009-01-01,Houston Rockets,27.9
2009-01-01,Indiana Pacers,26.5
2009-01-01,Los Angeles Clippers,26.6
2009-01-01,Los Angeles Lakers,27.4
2009-01-01,Memphis Grizzlies,23.3
2009-01-01,Miami Heat,25.6
2009-01-01,Milwaukee Bucks,26.3
2009-01-01,Minnesota Timberwolves,25.4
2009-01-01,New Jersey Nets,25.7
2009-01-01,New Orleans Hornets,28.2
2009-01-01,New York Knicks,25.7
2009-01-01,Oklahoma City Thunder,24.5
2009-01-01,Orlando Magic,27.3
2009-01-01,Philadelphia 76ers,26.1
2009-01-01,Phoenix Suns,29.5
2009-01-01,Portland Trail Blazers,24.0
2009-01-01,Sacramento Kings,26.3
2009-01-01,San Antonio Spurs,30.4
2009-01-01,Toronto Raptors,27.0
2009-01-01,Utah Jazz,25.5
2009-01-01,Washington Wizards,26.9
2009-01-01,League Average,26.8
2008-01-01,Atlanta Hawks,24.2
2008-01-01,Boston Celtics,27.9
2008-01-01,Charlotte Bobcats,26.3
2008-01-01,Chicago Bulls,25.7
2008-01-01,Cleveland Cavaliers,27.1
2008-01-01,Dallas Mavericks,28.9
2008-01-01,Denver Nuggets,28.5
2008-01-01,Detroit Pistons,28.3
2008-01-01,Golden State Warriors,25.5
2008-01-01,Houston Rockets,28.3
2008-01-01,Indiana Pacers,26.7
2008-01-01,Los Angeles Clippers,28.5
2008-01-01,Los Angeles Lakers,26.7
2008-01-01,Memphis Grizzlies,24.5
2008-01-01,Miami Heat,27.4
2008-01-01,Milwaukee Bucks,25.8
2008-01-01,Minnesota Timberwolves,24.6
2008-01-01,New Jersey Nets,27.4
2008-01-01,New Orleans Hornets,27.1
2008-01-01,New York Knicks,25.7
2008-01-01,Orlando Magic,26.7
2008-01-01,Philadelphia 76ers,25.3
2008-01-01,Phoenix Suns,29.3
2008-01-01,Portland Trail Blazers,24.1
2008-01-01,Sacramento Kings,27.3
2008-01-01,San Antonio Spurs,31.4
2008-01-01,Seattle SuperSonics,25.4
2008-01-01,Toronto Raptors,26.3
2008-01-01,Utah Jazz,25.3
2008-01-01,Washington Wizards,27.2
2008-01-01,League Average,27.0
2007-01-01,Atlanta Hawks,24.1
2007-01-01,Boston Celtics,23.5
2007-01-01,Charlotte Bobcats,25.5
2007-01-01,Chicago Bulls,26.0
2007-01-01,Cleveland Cavaliers,26.9
2007-01-01,Dallas Mavericks,28.1
2007-01-01,Denver Nuggets,26.5
2007-01-01,Detroit Pistons,29.0
2007-01-01,Golden State Warriors,24.6
2007-01-01,Houston Rockets,28.2
2007-01-01,Indiana Pacers,27.2
2007-01-01,Los Angeles Clippers,27.5
2007-01-01,Los Angeles Lakers,25.3
2007-01-01,Memphis Grizzlies,26.2
2007-01-01,Miami Heat,29.3
2007-01-01,Milwaukee Bucks,26.0
2007-01-01,Minnesota Timberwolves,27.7
2007-01-01,New Jersey Nets,28.2
2007-01-01,New Orleans/Oklahoma City Hornets,26.4
2007-01-01,New York Knicks,25.4
2007-01-01,Orlando Magic,25.6
2007-01-01,Philadelphia 76ers,26.2
2007-01-01,Phoenix Suns,27.6
2007-01-01,Portland Trail Blazers,24.4
2007-01-01,Sacramento Kings,27.3
2007-01-01,San Antonio Spurs,30.4
2007-01-01,Seattle SuperSonics,25.9
2007-01-01,Toronto Raptors,26.0
2007-01-01,Utah Jazz,25.9
2007-01-01,Washington Wizards,26.8
2007-01-01,League Average,26.7
2006-01-01,Atlanta Hawks,22.7
2006-01-01,Boston Celtics,25.3
2006-01-01,Charlotte Bobcats,25.2
2006-01-01,Chicago Bulls,24.1
2006-01-01,Cleveland Cavaliers,27.1
2006-01-01,Dallas Mavericks,27.5
2006-01-01,Denver Nuggets,27.4
2006-01-01,Detroit Pistons,28.5
2006-01-01,Golden State Warriors,25.6
2006-01-01,Houston Rockets,28.8
2006-01-01,Indiana Pacers,27.3
2006-01-01,Los Angeles Clippers,26.8
2006-01-01,Los Angeles Lakers,25.1
2006-01-01,Memphis Grizzlies,28.1
2006-01-01,Miami Heat,29.2
2006-01-01,Milwaukee Bucks,25.5
2006-01-01,Minnesota Timberwolves,26.7
2006-01-01,New Jersey Nets,28.6
2006-01-01,New Orleans/Oklahoma City Hornets,26.3
2006-01-01,New York Knicks,25.6
2006-01-01,Orlando Magic,25.5
2006-01-01,Philadelphia 76ers,26.5
2006-01-01,Phoenix Suns,27.5
2006-01-01,Portland Trail Blazers,24.6
2006-01-01,Sacramento Kings,27.2
2006-01-01,San Antonio Spurs,29.8
2006-01-01,Seattle SuperSonics,25.6
2006-01-01,Toronto Raptors,25.9
2006-01-01,Utah Jazz,25.6
2006-01-01,Washington Wizards,26.5
2006-01-01,League Average,26.6
2005-01-01,Atlanta Hawks,26.0
2005-01-01,Boston Celtics,27.1
2005-01-01,Charlotte Bobcats,24.9
